Composite Element REF	Beta_value	Chromosome	Start	End	Gene_Symbol	Gene_Type	Transcript_ID	Position_to_TSS	CGI_Coordinate	Feature_Type
cg00000957	0.896241238	chr1	5877193	5877194	NPHP4;NPHP4;NPHP4;NPHP4;NPHP4;NPHP4	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000378156.7;ENST00000378169.6;ENST00000470763.1;ENST00000478423.5;ENST00000489180.5;ENST00000506941.1	115279;115255;5657;115232;115281;274	CGI:chr1:5877097-5877332	Island
cg00001099	NA	chr8	86069324	86069325	ATP6V0D2;PSKH2;PSKH2;PSKH2	protein_coding;protein_coding;protein_coding;protein_coding	ENST00000521564.1;ENST00000276616.2;ENST00000517981.4;ENST00000523010.1	82000;374;19298;15529	CGI:chr8:86069424-86069817	N_Shore
cg00001245	0.013202296	chr3	15065203	15065204	MRPS25;MRPS25;MRPS25;MRPS25;MRPS25	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000253686.5;ENST00000420267.4;ENST00000444840.5;ENST00000447299.1;ENST00000449354.5	133;109;115;98;58	CGI:chr3:15064785-15065464	Island
cg00001249	0.712791462	chr14	59923068	59923069	LRRC9;LRRC9;LRRC9;LRRC9	protein_coding;protein_coding;protein_coding;protein_coding	ENST00000254271.7;ENST00000445360.4;ENST00000454474.2;ENST00000570145.1	3354;3354;3286;2918	CGI:chr14:59919553-59920111	S_Shelf
cg00001261	0.518379258	chr16	3413964	3413965	LA16c-306E5.2	protein_coding	ENST00000575785.1	48851	CGI:chr16:3400716-3401667	.
cg00001269	NA	chr20	50342467	50342468	.	.	.	.	CGI:chr20:50343627-50343836	N_Shore
cg00001349	0.911568122	chr1	166989202	166989203	MAEL;MAEL;MAEL;MAEL;MAEL	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000367870.5;ENST00000367872.7;ENST00000447624.1;ENST00000491055.4;ENST00000622874.3	112;92;-87;-724;13619	CGI:chr1:166988983-166989446	Island
cg00001364	0.762246646	chr1	213997033	213997034	PROX1;PROX1;PROX1;PROX1;PROX1	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000261454.7;ENST00000366958.7;ENST00000435016.2;ENST00000471129.1;ENST00000498508.5	8531;9089;8515;13851;9097	CGI:chr1:213989165-213989394	.
cg00001446	0.78291397	chr1	43365370	43365371	ELOVL1;ELOVL1;ELOVL1;ELOVL1;ELOVL1;ELOVL1;ELOVL1;ELOVL1;ELOVL1;ELOVL1;ELOVL1;ELOVL1;ELOVL1;ELOVL1;ELOVL1;ELOVL1;MIR6734	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;miRNA	ENST00000372458.6;ENST00000413844.3;ENST00000464204.4;ENST00000465321.4;ENST00000468865.5;ENST00000470769.4;ENST00000470968.5;ENST00000478481.4;ENST00000479439.4;ENST00000479686.4;ENST00000482302.4;ENST00000487209.4;ENST00000496932.1;ENST00000497050.4;ENST00000497569.4;ENST00000621943.3;ENST00000621166.1	2649;2705;2638;2634;-101;1218;2656;-155;960;2247;2047;2630;2596;2369;1735;2369;-654	CGI:chr1:43367143-43367402	N_Shore
cg00001510	0.379877038	chr19	54223321	54223322	CTB-83J4.1;LILRA6;LILRA6;LILRA6;LILRB3;LILRB3;LILRB3;LILRB3;LILRB3;LILRB3;RPS9	lincRNA;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000601161.1;ENST00000391735.6;ENST00000419410.5;ENST00000440558.5;ENST00000245620.12;ENST00000346401.9;ENST00000391750.4;ENST00000414379.4;ENST00000445347.1;ENST00000468668.1;ENST00000448962.4	-1203;19462;19480;19433;-342;-281;186;-342;-233;-233;22462	CGI:chr19:54207238-54207507	.
cg00001534	NA	chr1	50569193	50569194	FAF1;FAF1;FAF1;FAF1	protein_coding;protein_coding;protein_coding;protein_coding	ENST00000371778.5;ENST00000396153.5;ENST00000472808.1;ENST00000494400.4	390601;391071;37752;136859	CGI:chr1:50427796-50428073	.
cg00001582	0.026845908	chr10	79068945	79068946	ZMIZ1;ZMIZ1-AS1;ZMIZ1-AS1	protein_coding;antisense;antisense	ENST00000334512.8;ENST00000440151.1;ENST00000456353.4	-91;-1476;-1049	CGI:chr10:79067007-79070458	Island
cg00001583	0.028401852	chr1	200042658	200042659	NR5A2;NR5A2;NR5A2;NR5A2;NR5A2	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000236914.6;ENST00000367357.3;ENST00000367362.6;ENST00000474307.1;ENST00000544748.4	15043;-1153;15055;15000;-168	CGI:chr1:200042272-200042927	Island
cg00001593	NA	chr1	170521293	170521294	RP11-576I22.2;RP11-576I22.2	antisense;antisense	ENST00000421020.1;ENST00000456083.4	10708;11355	CGI:chr1:170661315-170661656	.
cg00001594	NA	chr2	11344579	11344580	ROCK2;ROCK2;ROCK2;ROCK2	protein_coding;protein_coding;protein_coding;protein_coding	ENST00000261535.6;ENST00000315872.9;ENST00000462366.1;ENST00000616279.3	-437;7;3752;7	CGI:chr2:11343833-11345427	Island
cg00001687	0.983042777	chr16	89695253	89695254	CDK10;CDK10;CDK10;CDK10;CDK10;CDK10;CDK10;CDK10	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000331006.11;ENST00000353379.10;ENST00000472018.4;ENST00000505473.4;ENST00000505733.4;ENST00000510811.5;ENST00000565470.1;ENST00000617879.1	14515;8584;8552;8582;8562;8561;1068;4646	CGI:chr16:89700845-89702474	.
cg00001747	0.010501953	chr2	104843805	104843806	LINC01158;LINC01158;LINC01158;LINC01158;LINC01158	processed_transcript;processed_transcript;processed_transcript;processed_transcript;processed_transcript	ENST00000413121.4;ENST00000443988.4;ENST00000447876.4;ENST00000454729.1;ENST00000458253.4	7657;7649;9379;7672;7654	CGI:chr2:104842715-104845312	Island
cg00001791	0.849827996	chr2	102797583	102797584	TMEM182;TMEM182;TMEM182;TMEM182;TMEM182;TMEM182;TMEM182	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000409173.4;ENST00000409528.4;ENST00000412401.2;ENST00000454536.4;ENST00000484094.1;ENST00000486293.1;ENST00000488134.4	60671;60674;35569;60674;-184;34983;60636	CGI:chr2:102736679-102736955	.
cg00001793	0.650042058	chr12	11752456	11752457	ETV6;ETV6;ETV6;ETV6	protein_coding;protein_coding;protein_coding;protein_coding	ENST00000396373.7;ENST00000541426.1;ENST00000544715.1;ENST00000545027.1	102601;102511;102444;-46	CGI:chr12:11648919-11649619	.
cg00001809	0.729802841	chr14	100687688	100687689	.	.	.	.	CGI:chr14:100708858-100709930	.
cg00001854	0.94033044	chr16	46974580	46974581	DNAJA2;DNAJA2;RP11-169E6.1	protein_coding;protein_coding;antisense	ENST00000317089.8;ENST00000563158.1;ENST00000562536.1	-791;-915;590	CGI:chr16:46972916-46974118	S_Shore
cg00001874	0.558246775	chr10	68230831	68230832	ATOH7	protein_coding	ENST00000373673.4	1273	CGI:chr10:68231136-68231766	N_Shore
cg00001930	NA	chr18	62387851	62387852	TNFRSF11A	protein_coding	ENST00000586569.2	62535	CGI:chr18:62384636-62385037	S_Shelf
cg00002028	NA	chr1	20633517	20633518	MIR6084;PINK1	miRNA;protein_coding	ENST00000622012.1;ENST00000321556.4	-163;61	CGI:chr1:20633371-20634058	Island
cg00002033	0.593153465	chr19	39307841	39307842	LRFN1	protein_coding	ENST00000248668.4	7496	CGI:chr19:39307146-39308610	Island
cg00002080	NA	chr21	29018096	29018097	RWDD2B;RWDD2B;RWDD2B;RWDD2B;RWDD2B;RWDD2B;RWDD2B	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000286777.5;ENST00000466746.1;ENST00000471269.1;ENST00000472184.1;ENST00000481411.1;ENST00000486719.4;ENST00000493196.1	1257;1211;1265;1264;1245;1255;1283	CGI:chr21:29018943-29019437	N_Shore
cg00002116	0.012453243	chr17	81703380	81703381	MRPL12;MRPL12;RP13-1032I1.7;SLC25A10	protein_coding;protein_coding;antisense;protein_coding	ENST00000333676.6;ENST00000541223.3;ENST00000575312.1;ENST00000571730.1	22;-109;-79;8	CGI:chr17:81702541-81703781	Island
cg00002145	0.583808133	chr2	237340893	237340894	COL6A3;COL6A3;COL6A3;COL6A3;COL6A3;COL6A3;COL6A3	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000295550.7;ENST00000347401.6;ENST00000353578.7;ENST00000409809.4;ENST00000468792.1;ENST00000472056.4;ENST00000491769.1	73483;73256;73315;55925;-290;73256;14887	CGI:chr2:237371832-237372126	.
cg00002190	0.776333137	chr8	19697522	19697523	CSGALNACT1;CSGALNACT1;CSGALNACT1;CSGALNACT1	protein_coding;protein_coding;protein_coding;protein_coding	ENST00000517494.1;ENST00000522573.4;ENST00000523262.4;ENST00000524213.4	60508;59696;60417;59784	CGI:chr8:19756620-19757796	.
cg00002224	0.049540995	chr8	143038982	143038983	C8orf31;C8orf31;C8orf31;C8orf31;C8orf31;C8orf31	processed_transcript;processed_transcript;processed_transcript;processed_transcript;processed_transcript;processed_transcript	ENST00000395172.4;ENST00000517653.4;ENST00000519775.2;ENST00000523099.4;ENST00000523766.4;ENST00000524181.4	-281;-228;-314;-280;-280;-280	CGI:chr8:143024258-143024462	.
cg00002236	0.021079337	chr18	70205825	70205826	RTTN;RTTN;RTTN	protein_coding;protein_coding;protein_coding	ENST00000255674.9;ENST00000581161.4;ENST00000581583.1	121;-124;-98	CGI:chr18:70205285-70206122	Island
cg00002406	0.014020037	chr16	30355114	30355115	CD2BP2;CD2BP2;CD2BP2;RP11-347C12.10	protein_coding;protein_coding;protein_coding;lincRNA	ENST00000305596.6;ENST00000564525.1;ENST00000569466.1;ENST00000563252.2	248;178;-179;-328	CGI:chr16:30354885-30355440	Island
cg00002426	0.551329159	chr3	57757816	57757817	SLMAP;SLMAP;SLMAP;SLMAP;SLMAP;SLMAP	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000295951.6;ENST00000295952.6;ENST00000383718.6;ENST00000428312.4;ENST00000449503.5;ENST00000467901.1	1585;368;261;257;257;514	CGI:chr3:57756198-57757263	S_Shore
cg00002449	0.90884412	chr10	28672636	28672637	.	.	.	.	CGI:chr10:28668479-28669187	S_Shelf
cg00002464	0.032476637	chr8	119416178	119416179	NOV;NOV	protein_coding;protein_coding	ENST00000259526.3;ENST00000520082.1	-129;-273	CGI:chr8:119416158-119416938	Island
cg00002473	NA	chr2	218124153	218124154	CXCR2	protein_coding	ENST00000453237.4	-1137	CGI:chr2:218033767-218034112	.
cg00002490	0.037757291	chr4	2262783	2262784	MXD4;MXD4;MXD4;MXD4	protein_coding;protein_coding;protein_coding;protein_coding	ENST00000337190.5;ENST00000510822.1;ENST00000513380.1;ENST00000515378.4	-488;-760;-983;-760	CGI:chr4:2261233-2262942	Island
cg00002531	0.884406754	chr7	128081742	128081743	MIR593;SND1;SND1;SND1	miRNA;protein_coding;protein_coding;protein_coding	ENST00000384856.1;ENST00000354725.6;ENST00000470463.1;ENST00000486037.1	-120;429561;39439;193829	CGI:chr7:128104142-128104502	.
cg00002591	0.914486935	chr3	52836527	52836528	MUSTN1;RP5-966M1.6;TMEM110;TMEM110-MUSTN1;TMEM110-MUSTN1;TMEM110-MUSTN1	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000446157.2;ENST00000468472.1;ENST00000482155.1;ENST00000495552.1;ENST00000504329.1;ENST00000514466.4	-1307;-797;4081;3736;61036;6421	CGI:chr3:52897210-52897824	.
cg00002593	0.750207562	chr1	1333413	1333414	TAS1R3	protein_coding	ENST00000339381.5	2098	CGI:chr1:1332055-1333606	Island
cg00002597	0.776747339	chr16	31426462	31426463	ITGAD	protein_coding	ENST00000389202.2	33149	CGI:chr16:31427570-31428361	N_Shore
cg00002646	0.842430569	chr1	153543026	153543027	S100A5	protein_coding	ENST00000368718.4	-1260	CGI:chr1:153535948-153536364	.
cg00002660	0.036064527	chr12	56189826	56189827	RP11-977G19.5;SMARCC2;SMARCC2;SMARCC2;SMARCC2;SMARCC2;SMARCC2;SMARCC2;SMARCC2;SMARCC2	sense_overlapping;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000553176.1;ENST00000267064.7;ENST00000347471.7;ENST00000394023.6;ENST00000547356.1;ENST00000550150.1;ENST00000550164.4;ENST00000550519.4;ENST00000550859.4;ENST00000552674.4	459;-277;-277;-258;-305;-342;-349;-282;-434;-352	CGI:chr12:56188924-56189898	Island
cg00002719	0.026785311	chr1	169427468	169427469	CCDC181;CCDC181;CCDC181;CCDC181;CCDC181	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000367805.6;ENST00000367806.6;ENST00000456107.1;ENST00000491570.2;ENST00000545005.4	7;-50;-5;7;33202	CGI:chr1:169427383-169427631	Island
cg00002749	0.922682791	chr17	59762177	59762178	VMP1;VMP1;VMP1;VMP1;VMP1;VMP1;VMP1	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000262291.7;ENST00000585847.4;ENST00000586245.4;ENST00000587945.1;ENST00000589823.5;ENST00000592619.4;ENST00000593168.4	54711;54525;54526;54512;54480;26838;54528	CGI:chr17:59707393-59707747	.
cg00002769	0.916005581	chr16	89936210	89936211	TUBB3	protein_coding	ENST00000555576.4	12864	CGI:chr16:89934863-89935848	S_Shore
cg00002808	0.856384041	chr1	223395358	223395359	CCDC185	protein_coding	ENST00000366875.4	1940	CGI:chr1:223394339-223394644	S_Shore
cg00002809	0.975593824	chr17	78486271	78486272	DNAH17;DNAH17;DNAH17;RP11-559N14.5;RP11-559N14.5	protein_coding;protein_coding;protein_coding;processed_transcript;processed_transcript	ENST00000389840.6;ENST00000585328.4;ENST00000586052.4;ENST00000588565.4;ENST00000591373.2	91124;91124;5220;1388;1360	CGI:chr17:78476214-78476451	.
cg00002810	0.077771909	chr1	57423035	57423036	DAB1;DAB1;DAB1	protein_coding;protein_coding;protein_coding	ENST00000371230.1;ENST00000371236.5;ENST00000485760.4	1023;1023;1123700	CGI:chr1:57422291-57424965	Island
cg00002837	0.178259528	chr1	44047686	44047687	RP5-1198O20.4;RP5-1198O20.4;RP5-1198O20.4;RP5-1198O20.4;RP5-1198O20.4;RP5-1198O20.4;RP5-1198O20.4;RP5-1198O20.4;RP5-1198O20.4;RP5-1198O20.4;RP5-1198O20.4	lincRNA;lincRNA;lincRNA;lincRNA;lincRNA;lincRNA;lincRNA;lincRNA;lincRNA;lincRNA;lincRNA	ENST00000431800.1;ENST00000434244.4;ENST00000437643.1;ENST00000607988.4;ENST00000609472.4;ENST00000609636.4;ENST00000610167.4;ENST00000616338.1;ENST00000626430.1;ENST00000628234.1;ENST00000630871.1	-692;3757;-707;11559;3763;4188;3763;-262;2922;1695;3105	CGI:chr1:44029957-44031353	.
cg00002930	0.056524532	chr6	31547621	31547622	ATP6V1G2;ATP6V1G2;ATP6V1G2;ATP6V1G2;ATP6V1G2;ATP6V1G2;ATP6V1G2-DDX39B;ATP6V1G2-DDX39B;ATP6V1G2-DDX39B;NFKBIL1;NFKBIL1;NFKBIL1;NFKBIL1;NFKBIL1	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000303892.8;ENST00000376151.4;ENST00000415099.2;ENST00000481998.1;ENST00000483170.1;ENST00000483251.1;ENST00000376185.4;ENST00000475917.1;ENST00000480131.1;ENST00000376145.7;ENST00000376146.7;ENST00000376148.7;ENST00000473655.1;ENST00000496233.1	-776;-983;807;-1027;-865;-772;-1038;-1027;-1012;7;750;39;-41;-20	CGI:chr6:31541891-31542119	.
cg00003014	NA	chr3	197552948	197552949	BDH1;BDH1;BDH1;BDH1;BDH1;BDH1;BDH1;BDH1;BDH1;BDH1	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000358186.5;ENST00000392378.5;ENST00000392379.4;ENST00000431056.4;ENST00000432819.4;ENST00000441275.4;ENST00000445160.2;ENST00000446746.4;ENST00000468710.1;ENST00000492681.1	20376;3101;3040;20376;3033;3040;3011;3025;3030;3009	CGI:chr3:197554734-197556257	N_Shore
cg00003091	0.035125686	chr4	1713277	1713278	RP11-572O17.1;SLBP;SLBP;SLBP;SLBP;SLBP;SLBP	lincRNA;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000605571.1;ENST00000318386.7;ENST00000429429.5;ENST00000480936.1;ENST00000483348.4;ENST00000488267.4;ENST00000489418.4	455;-1026;-958;-932;-1258;-959;-721	CGI:chr4:1711540-1713253	S_Shore
cg00003173	0.03194822	chr3	14125250	14125251	CHCHD4;CHCHD4;CHCHD4;TMEM43;TMEM43	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000295767.8;ENST00000396914.3;ENST00000420103.1;ENST00000306077.4;ENST00000432444.1	-379;-391;-500;309;234	CGI:chr3:14124217-14125499	Island
cg00003181	0.584441659	chr6	145836231	145836232	RP11-545I5.3;RP11-545I5.3;RP11-545I5.3;RP11-545I5.3;RP11-545I5.3;RP11-545I5.3;RP11-545I5.3;RP11-545I5.3;RP11-545I5.3;RP11-545I5.3;RP11-545I5.3	antisense;antisense;antisense;antisense;antisense;antisense;antisense;antisense;antisense;antisense;antisense	ENST00000452617.4;ENST00000587426.4;ENST00000587540.1;ENST00000591489.4;ENST00000592775.4;ENST00000606388.4;ENST00000626833.1;ENST00000627375.1;ENST00000629681.1;ENST00000630041.1;ENST00000630919.1	21335;20932;20932;20932;20932;21318;20852;21357;36821;20852;20852	CGI:chr6:145815189-145815428	.
cg00003187	NA	chr1	8679922	8679923	RERE;RERE;RERE;RERE	protein_coding;protein_coding;protein_coding;protein_coding	ENST00000337907.6;ENST00000400908.5;ENST00000468247.1;ENST00000480342.4	137544;137722;23298;73917	CGI:chr1:8702946-8703521	.
cg00003202	0.009256971	chr1	151347036	151347037	RFX5;RFX5;RFX5;RFX5;RFX5;RFX5;RFX5;RFX5;RFX5;RFX5;RFX5;RFX5;RFX5;RFX5;RFX5;RFX5;RFX5;RFX5;RP11-126K1.6	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;antisense	ENST00000290524.7;ENST00000368870.5;ENST00000392746.6;ENST00000412774.4;ENST00000421986.4;ENST00000422595.4;ENST00000430227.4;ENST00000435314.4;ENST00000436271.4;ENST00000437327.4;ENST00000444392.4;ENST00000450506.4;ENST00000452456.1;ENST00000452671.5;ENST00000458484.4;ENST00000478564.4;ENST00000479681.4;ENST00000494217.4;ENST00000455503.1	216;291;-213;193;171;-14;193;-217;-163;257;258;-62;-200;322;-429;206;-179;259;68	CGI:chr1:151346850-151347069	Island
cg00003287	0.340821446	chr1	201377021	201377022	LAD1;TNNT2;TNNT2;TNNT2;TNNT2;TNNT2;TNNT2;TNNT2;TNNT2;TNNT2;TNNT2;TNNT2;TNNT2	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000503578.4;ENST00000367318.8;ENST00000367320.5;ENST00000367322.4;ENST00000412633.2;ENST00000421663.5;ENST00000422165.4;ENST00000438742.4;ENST00000455702.4;ENST00000458432.5;ENST00000472177.2;ENST00000491504.4;ENST00000509001.4	8764;641;641;660;644;644;632;644;613;680;660;660;742	CGI:chr1:201399133-201399904	.
cg00003298	0.421496699	chr12	113463405	113463406	LHX5	protein_coding	ENST00000261731.3	8668	CGI:chr12:113462945-113468637	Island
cg00003305	0.304578239	chr19	30224738	30224739	AC005597.1	antisense	ENST00000588092.1	3978	CGI:chr19:30224642-30224846	Island
cg00003345	0.469904607	chr1	10756442	10756443	CASZ1;CASZ1	protein_coding;protein_coding	ENST00000344008.5;ENST00000377022.6	40209;40207	CGI:chr1:10793837-10796907	.
cg00003513	0.919646833	chr1	10697379	10697380	CASZ1;CASZ1	protein_coding;protein_coding	ENST00000344008.5;ENST00000377022.6	99272;99270	CGI:chr1:10697834-10698195	N_Shore
cg00003529	0.86763017	chr3	149792328	149792329	ANKUB1;ANKUB1;ANKUB1;ANKUB1;ANKUB1;ANKUB1	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000446160.4;ENST00000462519.2;ENST00000474404.1;ENST00000481585.1;ENST00000484019.1;ENST00000497728.1	496;439;-1400;176058;496;-5	CGI:chr3:149812506-149813447	.
cg00003578	0.399749118	chr1	12540503	12540504	.	.	.	.	CGI:chr1:12540321-12540530	Island
cg00003625	0.448237198	chr17	50835182	50835183	WFIKKN2;WFIKKN2	protein_coding;protein_coding	ENST00000311378.4;ENST00000426127.1	-229;531	CGI:chr17:50840427-50840961	.
cg00003722	NA	chr10	4458242	4458243	.	.	.	.	CGI:chr10:4825933-4826605	.
